session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
6099dc9561e51dc990954ba1,5e1bf51d33e835404a36d846,APPROVED,2021-05-11 01:23:35.110000,2021-05-11 01:33:37.285000,602.175,30,112,2,99,2021-05-14 02:58:59.885000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099dde61aab73be145aaa43,5eb9a86a8e25520c4abdcc24,APPROVED,2021-05-11 01:29:19.581000,2021-05-11 01:31:20.275000,120.694,28,205,0,100,2021-05-14 02:55:32.353000,3E161575,United States,United States,Other,Mixed,English,United States,Female,Yes
6099de0dcd1cb657c8b9dd17,5e0b37d379f2fa37a35161c1,APPROVED,2021-05-11 01:29:52.307000,2021-05-11 01:32:10.237000,137.93,41,892,2,100,2021-05-14 02:19:39.454000,3E161575,United States,United States,Part-Time,White,English,United States,Male,No
6099de7433209bccd25267b6,5f9376cd725acb15ed59a6f2,APPROVED,2021-05-11 01:31:34.885000,2021-05-11 01:33:51.225000,136.34,32,410,0,100,2021-05-14 02:25:02.849000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Asian,DATA EXPIRED,United States,Female,No
6099de9662be6c54d9e8bfcb,609988bc8fb57fd6afdeaa9f,APPROVED,2021-05-11 01:32:11.928000,2021-05-11 01:42:40.821000,628.893,20,15,0,100,2021-05-14 02:52:52.010000,3E161575,United States,United States,Due to start a new job within the next month,White,,United States,Female,Yes
6099dedc81d158b616001d18,5ee00ba7431cdf357dca02ab,APPROVED,2021-05-11 01:33:19.700000,2021-05-11 01:39:06.475000,346.775,46,127,2,97,2021-05-14 02:19:42.635000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099df0764dc1aae51d68c0c,6099b6b9fe7a206058042327,APPROVED,2021-05-11 01:34:04.346000,2021-05-11 01:36:53.692000,169.346,29,2,0,100,2021-05-14 02:29:24.886000,3E161575,United States,,Full-Time,Asian,,United States,Male,No
6099df17dcfa7d7e8fa9bd57,606b31d448b9c78800dc4b9d,APPROVED,2021-05-11 01:34:18.463000,2021-05-11 02:05:18.574000,1860.111,37,55,0,100,2021-05-14 02:59:01.037000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
6099df497722296982e8cfd1,607e344b95c090aa84159960,APPROVED,2021-05-11 01:35:07.535000,2021-05-11 01:37:05.238000,117.703,20,17,0,100,2021-05-14 02:17:14.091000,3E161575,United States,United States,Full-Time,White,,United States,Male,No
6099df6e64dc1aae51d68c0d,5f9b38a3e8bb2a1c4db0515e,APPROVED,2021-05-11 01:35:45.127000,2021-05-11 01:43:35.919000,470.792,38,68,2,98,2021-05-14 02:59:02.596000,3E161575,United States,United States,Part-Time,White,DATA EXPIRED,United States,Female,No
6099df83db8ff236bc8ee2d5,5f8ce260a044f11789952097,APPROVED,2021-05-11 01:36:06.250000,2021-05-11 01:42:51.556000,405.306,49,344,7,96,2021-05-14 02:22:26.135000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
6099dfbfaaeb07f0e82a14a4,601c170bd8db9368fc2d996b,APPROVED,2021-05-11 01:37:09.629000,2021-05-11 01:40:31.158000,201.529,38,273,0,100,2021-05-14 02:59:03.971000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,DATA EXPIRED,United States,Female,No
6099dfd068369e346a0591ce,5c36e0c5e38bc40001f82a4d,APPROVED,2021-05-11 01:37:25.233000,2021-05-11 01:42:45.879000,320.646,38,893,3,100,2021-05-14 02:41:55.686000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099dfec9f5a5e1b2a33dc3f,5c9a1f8454d2830014af40f2,APPROVED,2021-05-11 01:38:17.566000,2021-05-11 01:40:27.694000,130.128,34,712,1,100,2021-05-14 02:41:59.631000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099e02c66a44509e2c5d69a,5e3b9c6f2d29613aed274eb7,APPROVED,2021-05-11 01:38:55.260000,2021-05-11 01:41:11.649000,136.389,28,71,0,100,2021-05-14 02:17:15.149000,3E161575,United States,United States,,White,English,United States,Male,Yes
6099e04566013fce4ab7b8ba,5db1abc3a1042700166818a6,APPROVED,2021-05-11 01:39:20.999000,2021-05-11 01:42:00.937000,159.938,67,375,4,99,2021-05-14 02:44:51.589000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,DATA EXPIRED,United States,Male,No
6099e04c6bda6d31003a6879,5af2686097a14300017d28f0,APPROVED,2021-05-11 01:39:28.408000,2021-05-11 01:50:37.048000,668.64,55,653,2,100,2021-05-14 02:37:06.804000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6099e0594eaf3664768d2512,5eac2cc56665cc23af76e945,APPROVED,2021-05-11 01:39:41.407000,2021-05-11 01:42:39.750000,178.343,24,144,0,100,2021-05-14 02:52:53.119000,3E161575,United States,United States,Part-Time,White,English,United States,Female,No
6099e085b82761390b65b2be,5a8b7023f1408d000176b0af,APPROVED,2021-05-11 01:40:26.197000,2021-05-11 01:43:34.595000,188.398,36,1133,4,100,2021-05-14 02:59:05.805000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e16b2b33c7d2e8dc74b4,5fbbfc2d54733304263b5555,APPROVED,2021-05-11 01:44:12.803000,2021-05-11 01:47:05.578000,172.775,26,249,0,100,2021-05-14 02:51:35.522000,3E161575,United States,United States,Unemployed (and job seeking),Black,DATA EXPIRED,United States,Female,No
6099e197a0e0175ead4eb2b5,5e4ae9b7fafd6f04e442f2dd,APPROVED,2021-05-11 01:45:01.296000,2021-05-11 01:53:18.689000,497.393,41,41,1,99,2021-05-14 02:58:44.013000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Mixed,English,United States,Female,No
6099e1ae61e51dc990954bb3,5eccffb5f546bd000abf641d,APPROVED,2021-05-11 01:45:21.655000,2021-05-11 01:47:26.143000,124.488,53,853,3,100,2021-05-14 02:25:52.243000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099e1c1e8185b14db6fe4a2,5dc9f3a0e2633171257d503e,APPROVED,2021-05-11 01:45:45.761000,2021-05-11 01:53:49.983000,484.222,68,838,7,98,2021-05-14 02:57:56.046000,3E161575,United States,United States,Full-Time,Black,English,United States,Female,No
6099e1dde679f06b0955bc7f,608c451be10e84b9fc005f3e,APPROVED,2021-05-11 01:46:10.082000,2021-05-11 01:49:44.096000,214.014,70,48,1,99,2021-05-14 02:58:00.322000,3E161575,United States,United States,Part-Time,Black,,United States,Female,No
6099e1ebb6783ddfb5eb3d9f,587a75e361468f0001ea19c8,APPROVED,2021-05-11 01:46:31.334000,2021-05-11 01:50:25.799000,234.465,70,307,0,100,2021-05-14 02:29:37.256000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6099e1f6bcd00a079dbc09de,60997a2e51aca738f07bdce5,APPROVED,2021-05-11 01:46:32.690000,2021-05-11 01:49:42.112000,189.422,39,19,0,100,2021-05-14 02:59:10.324000,3E161575,United States,,Unemployed (and job seeking),White,,United States,Female,Yes
6099e23cd59098e7bb410b9a,5efcda6e3f64630e4487a845,APPROVED,2021-05-11 01:47:44.651000,2021-05-11 01:50:02.882000,138.231,22,173,2,98,2021-05-14 02:17:16.596000,3E161575,United States,United States,Part-Time,White,English,United States,Male,Yes
6099e24d66013fce4ab7b8c5,6058af7fb68efdbcf94665f8,APPROVED,2021-05-11 01:48:08.188000,2021-05-11 01:52:24.402000,256.214,23,100,1,100,2021-05-14 02:55:33.908000,3E161575,United States,United States,Full-Time,Mixed,DATA EXPIRED,United States,Female,No
6099e25811bdb4200b33fd31,600df962469bae625a037623,APPROVED,2021-05-11 01:48:13.148000,2021-05-11 01:50:52.576000,159.428,31,107,1,100,2021-05-14 02:59:11.305000,3E161575,United States,United States,Full-Time,White,,United States,Female,No
6099e2787722296982e8cfda,5f37fc7041c4f92b7b7f482a,APPROVED,2021-05-11 01:48:49.021000,2021-05-11 01:53:17.942000,268.921,27,216,0,100,2021-05-14 02:52:54.639000,3E161575,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Female,No
6099e2909386e50f1b632f95,604299feeea5961bc2ea1ac8,APPROVED,2021-05-11 01:49:07.273000,2021-05-11 01:51:39.653000,152.38,21,158,2,99,2021-05-14 02:52:56.185000,3E161575,United States,United States,Other,White,DATA EXPIRED,United States,Female,Yes
6099e2af6d25537c40b46311,5fb7e091a2e58b415d17ab1a,APPROVED,2021-05-11 01:49:37.802000,2021-05-11 01:51:41.258000,123.456,41,259,6,94,2021-05-14 02:56:48.976000,3E161575,United States,United States,Other,Black,DATA EXPIRED,United States,Male,No
6099e2dec514cb976ffdba0d,5f1c68e202ac4f0a43a6cb0d,APPROVED,2021-05-11 01:50:29.874000,2021-05-11 01:53:07.230000,157.356,63,512,0,100,2021-05-14 02:29:38.966000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6099e3201dd11604d65e3328,5d9e9204340c7700150ab74c,APPROVED,2021-05-11 01:51:32.919000,2021-05-11 01:55:25.460000,232.541,50,638,7,98,2021-05-14 02:25:55.337000,3E161575,United States,United States,Part-Time,White,English,United States,Male,No
6099e35c4f7c543c1a73b7b5,5e9a90794a7e88127a8fe01e,APPROVED,2021-05-11 01:52:28.353000,2021-05-11 01:54:33.510000,125.157,20,442,0,100,2021-05-14 02:29:26.027000,3E161575,United States,United States,Part-Time,Asian,English,United States,Male,Yes
6099e3c04e7a93035306ff5b,5dd05b3a381b6714036968f7,APPROVED,2021-05-11 01:54:08.237000,2021-05-11 02:02:29.932000,501.695,20,663,3,100,2021-05-14 02:40:11.900000,3E161575,United States,United States,Other,Asian,Vietnamese,United States,Female,Yes
6099e3d1079e9e505212e2e4,58d3edd4ad1e550001c5d45c,APPROVED,2021-05-11 01:54:25.773000,2021-05-11 01:58:49.971000,264.198,32,572,0,100,2021-05-14 02:42:02.137000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099e440b4821aa3cadcc61d,601b43e54132934f193869fa,APPROVED,2021-05-11 01:56:23.877000,2021-05-11 01:57:22.211000,58.334,23,92,0,100,2021-05-14 02:29:28.105000,3E161575,United States,United States,Full-Time,Asian,DATA EXPIRED,United States,Male,No
6099e482581fdff3711116fc,5f4db21cf1863aa92550ce33,APPROVED,2021-05-11 01:57:25.526000,2021-05-11 01:59:28.357000,122.831,35,426,1,100,2021-05-14 02:42:04.469000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
6099e4a6bff6cf8658ea7f6f,603e7013e8d8bdf254e6f015,APPROVED,2021-05-11 01:58:01.803000,2021-05-11 02:02:02.464000,240.661,30,212,0,100,2021-05-14 02:42:06.404000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
6099e4a922b5e00cd53a4c8e,58b0b2f5b3ae2f0001d34325,APPROVED,2021-05-11 01:58:05.177000,2021-05-11 02:05:19.010000,433.833,52,367,0,100,2021-05-14 02:37:09.277000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e521dd54cac9a95e9251,5ebdb4d3a814380d7781fbbe,APPROVED,2021-05-11 02:00:10.281000,2021-05-11 02:04:38.519000,268.238,54,425,1,100,2021-05-14 02:37:11.269000,3E161575,United States,United States,Other,White,English,United States,Female,No
6099e5755a4e254c3d33e0f1,5bcf5784c9efd400015e6c41,APPROVED,2021-05-11 02:01:29.244000,2021-05-11 02:03:34.161000,124.917,51,814,6,99,2021-05-14 02:37:13.277000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e58bb59028a489ae604b,5fcf0b867a8bda20e954746e,APPROVED,2021-05-11 02:01:47.808000,2021-05-11 02:04:00.824000,133.016,23,267,1,100,2021-05-14 02:17:17.950000,3E161575,United States,United States,Part-Time,White,DATA EXPIRED,United States,Male,Yes
6099e5ba4829976db2dbb488,5e9273fc26ded40e3b92f873,APPROVED,2021-05-11 02:02:37.299000,2021-05-11 02:09:03.464000,386.165,43,245,0,100,2021-05-14 02:22:27.872000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e6324bcec86e4f6dbed8,5ef283718092040ec9e39ca2,APPROVED,2021-05-11 02:04:39.301000,2021-05-11 02:12:17.267000,457.966,57,344,0,100,2021-05-14 02:37:16.994000,3E161575,United States,United States,DATA EXPIRED,White,English,United States,Female,No
6099e650d34c2370c3b908d4,5e1a7114a90da52e206de7ea,APPROVED,2021-05-11 02:05:08.642000,2021-05-11 02:07:30.970000,142.328,32,818,0,100,2021-05-14 02:42:09.199000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
6099e692ed96602e9974d20f,5fd85c9f4bf0b61a395593c7,APPROVED,2021-05-11 02:06:18.341000,2021-05-11 02:13:31.085000,432.744,47,95,0,100,2021-05-14 02:22:29.779000,3E161575,United States,United States,Part-Time,White,DATA EXPIRED,United States,Female,No
6099e6956867b634d2a19ab7,5f1be7d0ae31234123acbfd2,APPROVED,2021-05-11 02:06:17.493000,2021-05-11 02:11:06.681000,289.188,26,192,1,100,2021-05-14 02:17:19.707000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,Yes
6099e6b50ad25bf62a18bcda,5e87f1da94c5be47c8bcb301,APPROVED,2021-05-11 02:06:47.279000,2021-05-11 02:09:04.194000,136.915,38,468,0,100,2021-05-14 02:59:12.647000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e6b5a79032a4ae3587fa,56abc4044483af000c4b755c,APPROVED,2021-05-11 02:06:49.154000,2021-05-11 02:08:58.381000,129.227,31,1618,6,100,2021-05-14 02:59:14.687000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e73227170550091bc2b9,6099b394596d1924f18be518,APPROVED,2021-05-11 02:09:01.955000,2021-05-11 02:11:07.495000,125.54,27,45,0,100,2021-05-14 02:54:37.646000,3E161575,United States,United States,Full-Time,Mixed,,United States,Male,No
6099e74129f52cfc8c1e0161,5aaf4b0ce1546900019b01de,APPROVED,2021-05-11 02:09:09.393000,2021-05-11 02:11:39.120000,149.727,40,356,0,100,2021-05-14 02:22:30.975000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e7561b3cf26a406de39c,5f14685e15487c03624174de,APPROVED,2021-05-11 02:09:45.791000,2021-05-11 02:14:45.500000,299.709,34,111,0,100,2021-05-14 02:25:04.879000,3E161575,United States,United States,Full-Time,Asian,English,United States,Female,No
6099e7593e6c83025d423648,5e9fb21375fbf815d491d394,APPROVED,2021-05-11 02:09:35.528000,2021-05-11 02:11:49.078000,133.55,46,71,0,100,2021-05-14 02:22:32.812000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6099e777de4db6d751163367,5b9845dfae52a00001482c02,APPROVED,2021-05-11 02:10:02.692000,2021-05-11 02:16:53.235000,410.543,36,1460,5,100,2021-05-14 02:42:12.154000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099e7b0853104e3c4a46598,558991a1fdf99b7ae47f5e17,APPROVED,2021-05-11 02:10:59.666000,2021-05-11 02:12:39.915000,100.249,41,272,0,100,2021-05-14 02:22:34.365000,3E161575,United States,United States,Full-Time,White,English,United States,"Female, Female",No
6099e7b89ebda4f02c7fa5de,5ee82a46e6b51f000bb84f72,APPROVED,2021-05-11 02:11:07.329000,2021-05-11 02:18:09.611000,422.282,29,691,5,99,2021-05-14 02:29:30.141000,3E161575,China,United States,Part-Time,Asian,Chinese,United States,Male,No
6099e7e2817d406ece5e4a6b,5d11e762cc2d290016bc2364,APPROVED,2021-05-11 02:11:50.695000,2021-05-11 02:18:28.581000,397.886,23,583,2,100,2021-05-14 02:25:16.929000,3E161575,United States,United States,Unemployed (and job seeking),Black,English,United States,Male,No
6099e7f08c4f1797277208e2,5f81ead00afba52e71dcf414,APPROVED,2021-05-11 02:12:06.705000,2021-05-11 02:17:10.370000,303.665,65,465,3,100,2021-05-14 02:44:53.552000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,DATA EXPIRED,United States,Male,No
6099e804f8e316978719a69b,5ae2641f5cd05500015ece71,APPROVED,2021-05-11 02:12:23.844000,2021-05-11 02:16:13.448000,229.604,63,1406,1,100,2021-05-14 02:29:41.142000,3E161575,United States,United States,"Not in paid work (e.g. homemaker, retired or disabled)",White,English,United States,Female,No
6099e81b80f3ba718a7cf256,6099a570f8efbe33700d9218,APPROVED,2021-05-11 02:12:48.687000,2021-05-11 02:20:07.321000,438.634,27,34,0,100,2021-05-14 02:17:21.140000,3E161575,United States,United States,Full-Time,White,,United States,Male,No
6099e82473cfb1c98de2191c,5accdfaebf2ab00001aa8215,APPROVED,2021-05-11 02:12:57.507000,2021-05-11 02:21:43.653000,526.146,67,809,1,100,2021-05-14 02:44:55.602000,3E161575,United States,United States,"Not in paid work (e.g. homemaker, retired or disabled)",White,English,United States,Male,No
6099e851b8b34a19acd5d1e3,5fc50bb38378c80ac88354ef,APPROVED,2021-05-11 02:13:37.776000,2021-05-11 02:18:24.739000,286.963,63,541,6,98,2021-05-14 02:58:01.534000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,DATA EXPIRED,United States,Female,No
6099e86192a126e7f8822071,5f482b0da1cde52de45f174c,APPROVED,2021-05-11 02:13:53.160000,2021-05-11 02:15:45.710000,112.55,20,574,1,100,2021-05-14 02:29:32.630000,3E161575,United States,United States,Other,Asian,DATA EXPIRED,United States,Male,Yes
6099e871a299b760e055750d,5ee51258972de3238933c942,APPROVED,2021-05-11 02:14:12.964000,2021-05-11 02:16:13.503000,120.539,40,230,0,100,2021-05-14 02:19:44.005000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099e876dacfbeb6a9b65f04,6084c1b8f2338dab17eebb4a,APPROVED,2021-05-11 02:14:23.313000,2021-05-11 02:20:50.911000,387.598,38,16,0,100,2021-05-14 02:59:19.095000,3E161575,United States,United States,Unemployed (and job seeking),White,,United States,Female,No
6099e88c1e4a287453efa7ef,5e954bac8099ec8c18ba2b69,APPROVED,2021-05-11 02:14:52.029000,2021-05-11 02:18:38.279000,226.25,31,218,1,100,2021-05-14 02:42:16.391000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099e88fd8d5c8a722195924,5bedf1dac998f000011f754b,APPROVED,2021-05-11 02:14:45.071000,2021-05-11 02:20:37.196000,352.125,68,1498,19,95,2021-05-14 02:29:46.016000,3E161575,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6099e8ad84c288f8d0e6fa03,5efc94b54744cb0543717c28,APPROVED,2021-05-11 02:15:12.288000,2021-05-11 02:18:53.104000,220.816,21,197,0,100,2021-05-14 02:40:14.353000,3E161575,Philippines,United States,Unemployed (and job seeking),Asian,Tagalog-Filipino,United States,Female,Yes
6099e8b3513b53f5789ff412,602c42fcd6ab3e5033c45951,APPROVED,2021-05-11 02:15:25.581000,2021-05-11 02:20:26.791000,301.21,38,194,0,100,2021-05-14 02:59:20.300000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
6099e8d74b6e5a6eeb7956d2,6094e4b67180556173c16abc,APPROVED,2021-05-11 02:15:56.526000,2021-05-11 02:29:00.811000,784.285,20,16,0,100,2021-05-14 02:52:57.557000,3E161575,United States,United States,Unemployed (and job seeking),White,,United States,Female,Yes
6099e8e53e6c83025d42364b,5c42435f80ff9f0001bfb7bc,APPROVED,2021-05-11 02:16:08.126000,2021-05-11 02:17:48.851000,100.725,31,655,0,100,2021-05-14 02:59:23.653000,3E161575,Germany,United States,Unemployed (and job seeking),White,German,United States,Female,Yes
6099e8f1a79032a4ae358803,5f4dfdb3a7461bad5d3dd157,APPROVED,2021-05-11 02:16:21.018000,2021-05-11 02:18:08.600000,107.582,31,465,2,100,2021-05-14 02:59:26.062000,3E161575,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
6099e8f20c624913055f8c67,565bbc1ec121fe0012fc3782,APPROVED,2021-05-11 02:16:29.143000,2021-05-11 02:19:43.870000,194.727,58,563,2,99,2021-05-14 02:37:18.864000,3E161575,United States,United States,Full-Time,White,English,United States,Female,No
6099e901d4bfe2bf10b27b90,5abc27db68b65b00018d000f,APPROVED,2021-05-11 02:16:37.078000,2021-05-11 02:23:43.582000,426.504,56,551,4,99,2021-05-14 02:37:21.191000,3E161575,United States,United States,Part-Time,White,English,United States,Female,No
6099e936079e9e505212e2f3,5ccd434a168c6a0015f954e8,APPROVED,2021-05-11 02:17:32.285000,2021-05-11 02:19:51.006000,138.721,37,253,1,100,2021-05-14 02:56:03.206000,3E161575,Japan,United States,Full-Time,Asian,English,United States,Male,No
6099e96effde4744d30b3ba9,5d01b9d4c9281200151c7c6b,APPROVED,2021-05-11 02:18:26.380000,2021-05-11 02:20:26.298000,119.918,26,372,0,100,2021-05-14 02:55:35.172000,3E161575,United States,United States,Other,Mixed,English,United States,Female,No
6099e98cc548c25968e29953,5ed5abf1c29297142cee9f61,APPROVED,2021-05-11 02:18:54.785000,2021-05-11 02:23:11.172000,256.387,29,522,1,100,2021-05-14 02:40:17.052000,3E161575,Hong Kong,United States,Full-Time,Asian,Chinese,United States,Female,No
6099e993d067fcbf815ecbdb,5e5627b9ddf43412dd2965eb,APPROVED,2021-05-11 02:19:05.197000,2021-05-11 02:20:32.968000,87.771,20,315,0,100,2021-05-14 02:29:34.923000,3E161575,United States,United States,Part-Time,Asian,English,United States,Male,Yes
6099e9cfd59098e7bb410bb0,5cc8d13d3a83c10016094045,APPROVED,2021-05-11 02:20:02.519000,2021-05-11 02:20:56.253000,53.734,28,29,0,100,2021-05-14 02:53:00.210000,3E161575,United States,,,White,English,United States,Female,No
6099ea55d369c283398aedf9,5fc6ff902ee4372475162887,APPROVED,2021-05-11 02:22:16.417000,2021-05-11 02:26:36.916000,260.499,27,296,3,99,2021-05-14 02:25:19.301000,3E161575,United States,United States,Other,Black,DATA EXPIRED,United States,Male,No
6099ea57bff6cf8658ea7f7e,5df961cb53e8466f17606ae1,APPROVED,2021-05-11 02:22:18.826000,2021-05-11 02:24:45.922000,147.096,53,1276,4,100,2021-05-14 02:25:58.183000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099ea620f35ad50c3448fb4,5eb8aa2aea17ff80487ac965,APPROVED,2021-05-11 02:23:03.516000,2021-05-11 02:28:09.817000,306.301,49,766,0,100,2021-05-14 02:19:45.915000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099ea74513b53f5789ff41e,5c539d55db44c600010d747b,APPROVED,2021-05-11 02:22:46.851000,2021-05-11 02:25:17.823000,150.972,32,967,0,100,2021-05-14 02:42:18.909000,3E161575,United States,United States,Full-Time,White,English,United States,Male,No
6099ea7d5720a354627e1834,6062902e483d246ae9b25071,APPROVED,2021-05-11 02:23:12.704000,2021-05-11 02:27:33.417000,260.713,52,65,0,100,2021-05-14 02:26:02.415000,3E161575,United States,,Full-Time,White,,United States,Male,No
6099ea934a959f2c066bd71c,5bd7169c6d82850001257d57,APPROVED,2021-05-11 02:23:24.282000,2021-05-11 02:29:30.640000,366.358,50,432,1,100,2021-05-14 02:37:24.433000,3E161575,United States,United States,Unemployed (and job seeking),White,English,United States,Female,No
